ubigeo,lat,lon,mita,cusco,border,dell_d_bnd,dell_signed,elevation,slope,bfe4_1,bfe4_2,bfe4_3,stunted,n_children
40504,15.508330345153809,71.445556640625,0,0,1,30.594221115112305,-30.594221115112305,4.50412,3.82677,0,1,0,0.2435897435897436,156
40505,15.18805980682373,71.77249908447266,0,0,1,11.448379516601562,-11.448379516601562,4.64621,3.17717,0,1,0,0.3783783783783784,407
40506,15.627220153808594,71.64611053466797,0,0,0,53.395877838134766,-53.395877838134766,4.19187,7.72185,0,1,0,0.21052631578947367,57
40507,15.730830192565918,72.10749816894531,0,0,0,78.17235565185547,-78.17235565185547,3.45596,11.2487,0,1,0,0.22972972972972977,74
40509,15.649720191955566,71.6875,0,0,0,56.29193115234375,-56.29193115234375,4.27928,8.61556,0,1,0,0.3787878787878788,66
40510,15.622220039367676,71.768890380859375,0,0,0,55.152679443359375,-55.152679443359375,4.74835,6.15634,0,1,0,0.205607476635514,107
40512,15.641670227050781,71.76944732666016,0,0,0,57.23439025878906,-57.23439025878906,4.69047,7.86455,0,1,0,0.18823529411764703,85
40513,15.607780456542969,71.80805206298828,0,0,0,55.00362777709961,-55.00362777709961,4.4161,11.4208,0,1,0,0.15789473684210523,57
40514,15.931940078735352,71.10472106933594,0,0,1,23.148609161376953,-23.148609161376953,4.51089,1.79807,0,1,0,0.16071428571428573,56
40515,15.486940383911133,71.458343505859375,0,0,0,31.301198959350586,-31.301198959350586,4.46842,4.79631,0,1,0,0.3384615384615385,65
40516,15.578060150146484,71.93916320800781,0,0,0,56.670589447021484,-56.670589447021484,4.53444,7.69393,0,1,0,0.30612244897959184,49
40517,15.346110343933105,71.4477767944336,0,0,1,28.227619171142578,-28.227619171142578,4.46702,3.88839,0,1,0,0.3834586466165414,133
40518,15.533060073852539,71.55082702636719,0,0,0,42.210479736328125,-42.210479736328125,4.60437,5.22225,0,1,0,0.30612244897959184,98
40519,15.649169921875,71.65778350830078,0,0,0,55.90427017211914,-55.90427017211914,4.48215,3.67409,0,1,0,0.24342105263157895,152
40601,15.83806037902832,72.65361022949219,0,0,0,80.97159576416016,-80.97159576416016,2.44923,4.43973,1,0,0,0.12460063897763578,313
40602,15.796669960021973,72.86055755615234,0,0,0,63.01639175415039,-63.01639175415039,2.86757,5.72414,1,0,0,0.21052631578947367,38
40603,14.672220230102539,72.021942138671875,0,0,1,0.24050019681453705,-0.24050019681453705,4.62733,3.926,1,0,0,0.41630901287553645,233
40604,15.547499656677246,72.918609619140625,0,0,0,38.09613037109375,-38.09613037109375,3.19065,16.2161,1,0,0,0.2,40
40605,15.856389999389648,72.62555694580078,0,0,0,84.51243591308594,-84.51243591308594,2.5044400000000002,10.4364,1,0,0,0.16279069767441862,43
40607,15.5024995803833,72.82971954345703,0,0,1,42.35851287841797,-42.35851287841797,4.65361,5.11742,1,0,0,0.3703703703703703,81
40608,15.773889541625977,72.87666320800781,0,0,0,60.015480041503906,-60.015480041503906,2.45529,11.8937,1,0,0,0.14114114114114115,333
40801,15.21306037902832,72.88861083984375,0,0,1,17.056339263916016,-17.056339263916016,4.12564,9.03179,1,0,0,0.1973684210526316,228
40802,15.134719848632812,72.76471710205078,0,0,1,26.914169311523438,-26.914169311523438,4.37304,10.6899,1,0,0,0.5691056910569106,246
40803,15.240559577941895,73.07111358642578,0,0,1,5.333820819854736,-5.333820819854736,3.93447,14.0396,1,0,0,0.21568627450980393,51
40804,15.12693977355957,72.810546875,0,0,1,21.956920623779297,-21.956920623779297,4.65901,6.7515,1,0,0,0.448,250
40805,15.130559921264648,72.90471649169922,0,0,1,12.350509643554688,-12.350509643554688,4.49677,6.67423,1,0,0,0.4853801169590643,171
40806,15.0600004196167,72.690826416015625,0,0,1,32.53818893432617,-32.53818893432617,4.77135,5.31962,1,0,0,0.6863468634686347,271
40807,15.323610305786133,73.05944061279297,0,0,1,11.00055980682373,-11.00055980682373,3.10055,15.904,1,0,0,0.4166666666666667,12
40808,15.319999694824219,73.220001220703125,0,0,1,2.4809629917144775,-2.4809629917144775,2.88893,15.2802,1,0,0,0.4509803921568627,51
40809,15.356109619140625,73.23249816894531,0,0,1,6.047404766082764,-6.047404766082764,3.00247,16.3262,1,0,0,0.7407407407407407,27
40810,15.173060417175293,72.8308334350586,0,0,1,20.98373031616211,-20.98373031616211,4.26037,10.5565,1,0,0,0.382716049382716,81
40811,15.264169692993164,72.92888641357422,0,0,1,18.01177978515625,-18.01177978515625,3.36247,14.9436,1,0,0,0.3473684210526316,95
50106,13.392499923706055,73.91500091552734,1,0,0,71.90739440917969,71.90739440917969,3.20949,11.6967,0,0,1,0.3825503355704698,745
50601,14.699999809265137,74.133331298828125,1,0,0,96.016387939453125,96.016387939453125,3.99896,4.30975,1,0,0,0.2637444279346211,1346
50605,14.983329772949219,73.833343505859375,1,0,0,52.82889175415039,52.82889175415039,3.51774,7.34727,1,0,0,0.4130434782608696,230
50615,14.75,74.23332977294922,1,0,0,98.155853271484375,98.155853271484375,3.42864,9.1455,1,0,0,0.5042016806722689,238
50617,14.766670227050781,74.0999984741211,1,0,0,87.90045928955078,87.90045928955078,2.72782,9.88706,1,0,0,0.4750830564784053,301
50619,15.050000190734863,73.94999694824219,1,0,0,53.13405227661133,53.13405227661133,2.65214,8.05767,1,0,0,0.4428571428571429,280
50701,15.033329963684082,73.78333282470703,1,0,0,45.67837905883789,45.67837905883789,4.21366,4.59321,1,0,0,0.381057268722467,1362
50702,15.100000381469727,73.76667022705078,1,0,0,38.15167999267578,38.15167999267578,3.53732,6.4316700000000004,1,0,0,0.425,240
50703,14.808609962463379,73.291107177734375,1,0,0,29.553098678588867,29.553098678588867,4.4384,4.95268,1,0,0,0.4778761061946903,113
50704,14.951390266418457,73.367767333984375,1,0,0,36.62794876098633,36.62794876098633,3.96809,8.3981,1,0,0,0.3387096774193548,62
50706,15.25,73.5666732788086,1,0,1,16.128049850463867,16.128049850463867,3.61477,4.29267,1,0,0,0.22053231939163495,263
50707,14.996109962463379,73.35221862792969,1,0,0,33.378238677978516,33.378238677978516,3.99318,9.24611,1,0,0,0.5964912280701754,57
50708,14.901670455932617,73.40110778808594,1,0,0,39.73814010620117,39.73814010620117,4.07676,4.66508,1,0,0,0.546875,192
50801,15.279720306396484,73.34583282470703,1,0,1,6.789341926574707,6.789341926574707,3.2649,12.2424,1,0,0,0.1452991452991453,234
50802,15.162220001220703,73.29472351074219,1,0,0,14.162449836730957,14.162449836730957,3.80312,8.91193,1,0,0,0.23636363636363636,55
50803,15.262499809265137,73.20054626464844,1,0,1,3.5518620014190674,3.5518620014190674,3.39928,13.5563,1,0,0,0.28169014084507044,71
50804,15.184439659118652,73.34889221191406,1,0,0,13.916139602661133,13.916139602661133,3.85194,7.6022,1,0,0,0.17676767676767677,198
50805,15.15056037902832,73.3419418334961,1,0,0,16.856969833374023,16.856969833374023,3.9973,10.6372,1,0,0,0.15873015873015872,63
50806,15.179719924926758,73.18611145019531,1,0,0,8.00395393371582,8.00395393371582,4.53529,3.75794,1,0,0,0.5327868852459017,122
50807,15.316670417785645,73.48332977294922,1,0,0,5.98191499710083,5.98191499710083,3.52398,12.3213,1,0,0,0.36666666666666664,30
50808,15.062219619750977,73.31500244140625,1,0,0,25.429439544677734,25.429439544677734,3.80291,14.3298,1,0,0,0.2272727272727273,22
50809,15.224720001220703,73.228607177734375,1,0,0,7.126105785369873,7.126105785369873,3.58876,12.6909,1,0,0,0.3125,16
50810,15.247779846191406,73.453887939453125,1,0,0,12.025910377502441,12.025910377502441,3.7782,11.8055,1,0,0,0.22950819672131148,61
